ENTIDAD,ANIO,VARIABLE,MES,VALOR,MES_NUM,FECHA_PROXY
SONORA,1987,Temperatura_Minima,ENE,4.1,01,1987-01-15
TABASCO,1987,Temperatura_Minima,ENE,18.0,01,1987-01-15
TAMAULIPAS,1987,Temperatura_Minima,ENE,8.4,01,1987-01-15
TLAXCALA,1987,Temperatura_Minima,ENE,1.2,01,1987-01-15
VERACRUZ,1987,Temperatura_Minima,ENE,12.1,01,1987-01-15
YUCATÁN,1987,Temperatura_Minima,ENE,15.7,01,1987-01-15
ZACATECAS,1987,Temperatura_Minima,ENE,2.7,01,1987-01-15
AGUASCALIENTES,1987,Temperatura_Maxima,ENE,21.3,01,1987-01-15
BAJA CALIFORNIA,1987,Temperatura_Maxima,ENE,20.2,01,1987-01-15
BAJA CALIFORNIA SUR,1987,Temperatura_Maxima,ENE,25.0,01,1987-01-15
CAMPECHE,1987,Temperatura_Maxima,ENE,29.7,01,1987-01-15
COAHUILA,1987,Temperatura_Maxima,ENE,17.7,01,1987-01-15
COLIMA,1987,Temperatura_Maxima,ENE,30.9,01,1987-01-15
CHIAPAS,1987,Temperatura_Maxima,ENE,27.8,01,1987-01-15
CHIHUAHUA,1987,Temperatura_Maxima,ENE,16.5,01,1987-01-15
CIUDAD DE MÉXICO,1987,Temperatura_Maxima,ENE,20.9,01,1987-01-15
DURANGO,1987,Temperatura_Maxima,ENE,19.0,01,1987-01-15
GUANAJUATO,1987,Temperatura_Maxima,ENE,22.1,01,1987-01-15
GUERRERO,1987,Temperatura_Maxima,ENE,30.4,01,1987-01-15
HIDALGO,1987,Temperatura_Maxima,ENE,20.8,01,1987-01-15
JALISCO,1987,Temperatura_Maxima,ENE,25.6,01,1987-01-15
ESTADO DE MÉXICO,1987,Temperatura_Maxima,ENE,20.6,01,1987-01-15
MICHOACÁN,1987,Temperatura_Maxima,ENE,25.9,01,1987-01-15
MORELOS,1987,Temperatura_Maxima,ENE,27.1,01,1987-01-15
NAYARIT,1987,Temperatura_Maxima,ENE,28.8,01,1987-01-15
NUEVO LEÓN,1987,Temperatura_Maxima,ENE,19.5,01,1987-01-15
OAXACA,1987,Temperatura_Maxima,ENE,26.7,01,1987-01-15
PUEBLA,1987,Temperatura_Maxima,ENE,22.5,01,1987-01-15
QUERÉTARO,1987,Temperatura_Maxima,ENE,22.2,01,1987-01-15
QUINTANA ROO,1987,Temperatura_Maxima,ENE,28.6,01,1987-01-15
SAN LUIS POTOSÍ,1987,Temperatura_Maxima,ENE,22.2,01,1987-01-15
SINALOA,1987,Temperatura_Maxima,ENE,27.4,01,1987-01-15
SONORA,1987,Temperatura_Maxima,ENE,23.5,01,1987-01-15
TABASCO,1987,Temperatura_Maxima,ENE,27.0,01,1987-01-15
TAMAULIPAS,1987,Temperatura_Maxima,ENE,22.4,01,1987-01-15
TLAXCALA,1987,Temperatura_Maxima,ENE,20.0,01,1987-01-15
VERACRUZ,1987,Temperatura_Maxima,ENE,23.5,01,1987-01-15
YUCATÁN,1987,Temperatura_Maxima,ENE,29.2,01,1987-01-15
ZACATECAS,1987,Temperatura_Maxima,ENE,20.9,01,1987-01-15
AGUASCALIENTES,1987,Temperatura_Promedio,ENE,12.1,01,1987-01-15
BAJA CALIFORNIA,1987,Temperatura_Promedio,ENE,13.2,01,1987-01-15
BAJA CALIFORNIA SUR,1987,Temperatura_Promedio,ENE,17.3,01,1987-01-15
CAMPECHE,1987,Temperatura_Promedio,ENE,22.6,01,1987-01-15
COAHUILA,1987,Temperatura_Promedio,ENE,11.4,01,1987-01-15
COLIMA,1987,Temperatura_Promedio,ENE,22.5,01,1987-01-15
