"fecha","n","n.value","nraw","t","logn","log_nraw","year","epiweek","month","normalized_year"
"2018-07-22",1463.142857142857,1354,1354,1240,7.28902526977625,7.2115567333138015,2018,30,7,3
"2018-07-29",1308.6190476190477,1376,1376,1247,7.177491570559467,7.227662498728654,2018,31,7,3
"2018-08-05",1309.047619047619,2894,2894,1254,7.1778187659525665,7.970740390007095,2018,32,8,3
"2018-08-12",1419.142857142857,1682,1682,1261,7.258512749156832,7.428333194190806,2018,33,8,3
"2018-08-19",1568.190476190476,1946,1946,1268,7.358315145103672,7.5740450053722,2018,34,8,3
"2018-08-26",1821.047619047619,5131,5131,1275,7.507716213069823,8.543250725735527,2018,35,8,3
"2018-09-02",2134.952380952381,3114,3114,1282,7.666667906269961,8.043984431221553,2018,36,9,3
"2018-09-09",2492.2380952380954,3073,3073,1289,7.821337584473865,8.03073492409854,2018,37,9,3
"2018-09-16",3065.7619047619046,9828,9828,1296,8.028377529787418,9.19309247856663,2018,38,9,3
"2018-09-23",3629.380952380952,4559,4559,1303,8.197092867311987,8.425077902508432,2018,39,9,3
"2018-09-30",4227.666666666667,4129,4129,1310,8.349642013525733,8.326032685955079,2018,40,9,3
"2018-10-07",4563.0952380952385,4878,4878,1317,8.42597557800685,8.492695559815838,2018,41,10,3
"2018-10-14",4812.142857142858,4982,4982,1324,8.479105550379941,8.513787398281405,2018,42,10,3
"2018-10-21",5273.7619047619055,10025,10025,1331,8.570688820787556,9.212936997823448,2018,43,10,3
"2018-10-28",5628.761904761905,3766,3766,1338,8.635822429788654,8.23403420769204,2018,44,10,3
"2018-11-04",5725.714285714286,4260,4260,1345,8.652897222152378,8.357259153499912,2018,45,11,3
"2018-11-11",5530.476190476191,5334,5334,1352,8.618210001113571,8.582044163735853,2018,46,11,3
"2018-11-18",5215.285714285715,2303,2303,1359,8.559540878618142,7.742402021815782,2018,47,11,3
"2018-11-25",5090.476190476191,3308,3308,1366,8.535323085272825,8.104401307921613,2018,48,11,3
"2018-12-02",4773.190476190476,1715,1715,1373,8.470979704760255,7.447751280047908,2018,49,12,3
"2018-12-09",4242.809523809524,3724,3724,1380,8.353216617437688,8.22282213081366,2018,50,12,3
"2018-12-16",3654.571428571429,981,981,1387,8.204007701570214,6.889591308354466,2018,51,12,3
"2018-12-23",3042.047619047619,483,483,1394,8.020614798492119,6.182084906716632,2018,52,12,3
"2018-12-30",2479.809523809524,89,89,1401,7.816340206786257,4.499809670330265,2019,1,12,4
"2019-01-06",1975.952380952381,744,744,1408,7.589311736361757,6.61338421837956,2019,2,1,4
"2019-01-13",1535.7619047619048,868,868,1415,7.337432822470571,6.767343125265392,2019,3,1,4
"2019-01-20",1304,847,847,1422,7.173958319756794,6.742880635791903,2019,4,1,4
"2019-01-27",1005.095238095238,755,755,1429,6.913832016253545,6.628041376179533,2019,5,1,4
"2019-02-03",809.3809523809524,708,708,1436,6.69750444868608,6.5638555265321274,2019,6,2,4
"2019-02-10",669.0952380952382,779,779,1443,6.507419848693972,6.659293919683638,2019,7,2,4
"2019-02-17",705.4285714285716,829,829,1450,6.5602220950014996,6.721425700790643,2019,8,2,4
"2019-02-24",759.0952380952382,835,835,1457,6.633443738712531,6.728628613084702,2019,9,2,4
"2019-03-03",795.0952380952382,793,793,1464,6.679718824535678,6.677083461247136,2019,10,3,4
"2019-03-10",801.1904761904763,959,959,1471,6.687346081151886,6.866933284461882,2019,11,3,4
"2019-03-17",815.1904761904763,1012,1012,1478,6.704647754428348,6.920671504248683,2019,12,3,4
"2019-03-24",839.7142857142858,854,854,1485,6.7342518706390635,6.75110146893676,2019,13,3,4
"2019-03-31",869.2380952380953,996,996,1492,6.7687668468945565,6.904750769961838,2019,14,3,4
"2019-04-07",893.5714285714286,977,977,1499,6.796344752831038,6.885509670034818,2019,15,4,4
"2019-04-14",897.7142857142858,557,557,1506,6.800965170514717,6.324358962381311,2019,16,4,4
"2019-04-21",891.1904761904763,786,786,1513,6.793679648114075,6.668228248417403,2019,17,4,4
"2019-04-28",868.857142857143,775,775,1520,6.7683289945532605,6.654152520183219,2019,18,4,4
"2019-05-05",856,933,933,1527,6.75343791859778,6.839476438228843,2019,19,5,4
"2019-05-12",866.1428571428572,1330,1330,1534,6.765203734998231,7.193685818395112,2019,20,5,4
"2019-05-19",901.8571428571428,1349,1349,1541,6.80556433808559,7.2078598714324755,2019,21,5,4
"2019-05-26",1175.7142857142856,5899,5899,1548,7.0704813298859355,8.68270762989381,2019,22,5,4
"2019-06-02",1621.7619047619046,4649,4649,1555,7.391884856051761,8.444622498581403,2019,23,6,4
"2019-06-09",2141.714285714286,2691,2691,1562,7.669828662140046,7.898039690764619,2019,24,6,4
"2019-06-16",2512.6190476190477,2567,2567,1569,7.8294788452969,7.850882664809852,2019,25,6,4
"2019-06-23",2764.8095238095243,2532,2532,1576,7.925088646444083,7.837159650001675,2019,26,6,4
"2019-06-30",2989.1904761904766,2651,2651,1583,8.003092368767224,7.883069351305753,2019,27,6,4
"2019-07-07",3204.285714285714,2946,2946,1590,8.072556511804464,7.988542982737695,2019,28,7,4
"2019-07-14",3222.095238095238,3355,3355,1597,8.078097430896463,8.118505067587098,2019,29,7,4
"2019-07-21",3135.285714285714,3773,3773,1604,8.050794485191949,8.235890725928495,2019,30,7,4
"2019-07-28",3056.571428571429,4458,4458,1611,8.02537622904525,8.402679804627477,2019,31,7,4
"2019-08-04",3380.952380952381,8488,8488,1618,8.126208449215218,9.046526486737967,2019,32,8,4
"2019-08-11",3936.1904761904766,6504,6504,1625,8.278222670822556,8.780326390946605,2019,33,8,4
"2019-08-18",4792.190476190476,10734,10734,1632,8.47495153886457,9.28126471031288,2019,34,8,4
"2019-08-25",6244.095238095238,21381,21381,1639,8.739551672738868,9.970304725573444,2019,35,8,4
"2019-09-01",7950.428571428572,12670,12670,1646,8.981106886024568,9.447071196798907,2019,36,9,4
"2019-09-08",9738.047619047618,13563,13563,1653,9.183898611470513,9.515174503245529,2019,37,9,4
"2019-09-15",11448.190476190475,21266,21266,1660,9.345674305713578,9.964911854523129,2019,38,9,4
"2019-09-22",13690.047619047618,28969,28969,1667,9.5244974397555,10.274016090763396,2019,39,9,4
"2019-09-29",15938.714285714284,16437,16437,1674,9.67656902782436,9.707351006708445,2019,40,9,4
"2019-10-06",17720.904761904763,17746,17746,1681,9.782556710589011,9.783971766534563,2019,41,10,4
"2019-10-13",18397.61904761905,18647,18647,1688,9.82003088902072,9.833494180715594,2019,42,10,4
"2019-10-20",18889.14285714286,18714,18714,1695,9.846395523047311,9.83708062033853,2019,43,10,4
"2019-10-27",19107.42857142857,14837,14837,1702,9.857884803158717,9.604946736749472,2019,44,10,4
"2019-11-03",19076.42857142857,13297,13297,1709,9.856261165030377,9.4953689269624,2019,45,11,4
"2019-11-10",18274.04761904762,18814,18814,1716,9.813291890308024,9.842409703027538,2019,46,11,4
"2019-11-17",16963.333333333332,7036,7036,1723,9.73886837985518,8.85893722196655,2019,47,11,4
"2019-11-24",16013.285714285716,17351,17351,1730,9.681236460004936,9.761463052506713,2019,48,11,4
"2019-12-01",14977.809523809525,6698,6698,1737,9.614391782872469,8.809713540508268,2019,49,12,4
"2019-12-08",14055.761904761905,11695,11695,1744,9.55085883334681,9.36700218198956,2019,50,12,4
"2019-12-15",12623.333333333334,3724,3724,1751,9.443381447468784,8.22282213081366,2019,51,12,4
"2019-12-22",11202.619047619048,1594,1594,1758,9.323992134339871,7.374629015218945,2019,52,12,4
"2019-12-29",9267.952380952382,1002,1002,1765,9.134425640410091,6.910750787961936,2020,1,12,5
"2020-01-05",7624.904761904762,2047,2047,1772,8.939306251735378,7.6246189861593985,2020,2,1,5
"2020-01-12",5813.142857142858,2105,2105,1779,8.668048652048956,7.652545692693921,2020,3,1,5
"2020-01-19",4625.809523809524,1999,1999,1786,8.43962282182008,7.600902459542082,2020,4,1,5
"2020-01-26",3197.523809523809,1646,1646,1793,8.070444672828035,7.40671073017764,2020,5,1,5
"2020-02-02",2392.904761904762,1575,1575,1800,7.780681103331925,7.362645270417825,2020,6,2,5
"2020-02-09",1813.8095238095236,1631,1631,1807,7.50373579563229,7.397561535524052,2020,7,2,5
"2020-02-16",1747.857142857143,1729,1729,1814,7.466717792355702,7.455876687491824,2020,8,2,5
"2020-02-23",1764.285714285714,1628,1628,1821,7.476067834048877,7.395721608602045,2020,9,2,5
"2020-03-01",1745.857142857143,1410,1410,1828,7.4655735339554115,7.252053951852814,2020,10,3,5
"2020-03-08",1656.857142857143,1244,1244,1835,7.413281169653224,7.126890808898808,2020,11,3,5
"2020-03-15",1563.2380952380952,1130,1130,1842,7.35515414432568,7.030857476116121,2020,12,3,5
"2020-03-22",1463.9523809523807,761,761,1849,7.289578016453521,6.635946555686647,2020,13,3,5
"2020-03-29",1353.6190476190477,644,644,1856,7.211275548116349,6.4692503167957724,2020,14,3,5
"2020-04-05",1211.285714285714,541,541,1863,7.100262876706957,6.295266001439646,2020,15,4,5
"2020-04-12",1065.190476190476,735,735,1870,6.971847271869377,6.601230118728877,2020,16,4,5
"2020-04-19",933.9523809523808,735,735,1877,6.840495598529044,6.601230118728877,2020,17,4,5
"2020-04-26",831.9523809523807,670,670,1884,6.724976474809388,6.508769136971682,2020,18,4,5
"2020-05-03",760.190476190476,872,872,1891,6.634883623770518,6.771935555839602,2020,19,5,5
"2020-05-10",733.8571428571427,1040,1040,1898,6.599676116862142,6.947937068614969,2020,20,5,5
"2020-05-17",762.3333333333331,1221,1221,1905,6.637694807880175,7.108244139731541,2020,21,5,5
