"Estado","Semana_Epidemiologica","Anio","n","fecha","year","epiweek","month","normalized_year"
"CAMPECHE",6,2016,21,"2016-02-07",2016,6,2,1
"AGUASCALIENTES",6,2016,0,"2016-02-07",2016,6,2,1
"BAJA CALIFORNIA",6,2016,4,"2016-02-07",2016,6,2,1
"BAJA CALIFORNIA SUR",6,2016,17,"2016-02-07",2016,6,2,1
"CHIHUAHUA",6,2016,0,"2016-02-07",2016,6,2,1
"CIUDAD DE MÉXICO",6,2016,0,"2016-02-07",2016,6,2,1
"DURANGO",6,2016,0,"2016-02-07",2016,6,2,1
"GUANAJUATO",6,2016,2,"2016-02-07",2016,6,2,1
"HIDALGO",6,2016,14,"2016-02-07",2016,6,2,1
"OAXACA",6,2016,71,"2016-02-07",2016,6,2,1
"QUERÉTARO",6,2016,2,"2016-02-07",2016,6,2,1
"TLAXCALA",6,2016,0,"2016-02-07",2016,6,2,1
"ZACATECAS",6,2016,1,"2016-02-07",2016,6,2,1
"NUEVO LEÓN",7,2016,313,"2016-02-14",2016,7,2,1
"GUERRERO",7,2016,259,"2016-02-14",2016,7,2,1
"CHIAPAS",7,2016,92,"2016-02-14",2016,7,2,1
"VERACRUZ",7,2016,193,"2016-02-14",2016,7,2,1
"TAMAULIPAS",7,2016,83,"2016-02-14",2016,7,2,1
"MICHOACÁN",7,2016,72,"2016-02-14",2016,7,2,1
"MORELOS",7,2016,75,"2016-02-14",2016,7,2,1
"JALISCO",7,2016,319,"2016-02-14",2016,7,2,1
"TABASCO",7,2016,86,"2016-02-14",2016,7,2,1
"PUEBLA",7,2016,40,"2016-02-14",2016,7,2,1
"NAYARIT",7,2016,214,"2016-02-14",2016,7,2,1
"SINALOA",7,2016,83,"2016-02-14",2016,7,2,1
"MÉXICO",7,2016,21,"2016-02-14",2016,7,2,1
"QUINTANA ROO",7,2016,54,"2016-02-14",2016,7,2,1
"YUCATÁN",7,2016,28,"2016-02-14",2016,7,2,1
"COLIMA",7,2016,91,"2016-02-14",2016,7,2,1
"SONORA",7,2016,41,"2016-02-14",2016,7,2,1
"COAHUILA",7,2016,6,"2016-02-14",2016,7,2,1
"SAN LUIS POTOSÍ",7,2016,25,"2016-02-14",2016,7,2,1
"CAMPECHE",7,2016,25,"2016-02-14",2016,7,2,1
"HIDALGO",7,2016,15,"2016-02-14",2016,7,2,1
"AGUASCALIENTES",7,2016,0,"2016-02-14",2016,7,2,1
"BAJA CALIFORNIA",7,2016,2,"2016-02-14",2016,7,2,1
"BAJA CALIFORNIA SUR",7,2016,27,"2016-02-14",2016,7,2,1
"CHIHUAHUA",7,2016,0,"2016-02-14",2016,7,2,1
"CIUDAD DE MÉXICO",7,2016,0,"2016-02-14",2016,7,2,1
"DURANGO",7,2016,1,"2016-02-14",2016,7,2,1
"GUANAJUATO",7,2016,2,"2016-02-14",2016,7,2,1
"OAXACA",7,2016,87,"2016-02-14",2016,7,2,1
"QUERÉTARO",7,2016,0,"2016-02-14",2016,7,2,1
"TLAXCALA",7,2016,0,"2016-02-14",2016,7,2,1
"ZACATECAS",7,2016,0,"2016-02-14",2016,7,2,1
"GUERRERO",8,2016,259,"2016-02-21",2016,8,2,1
"NUEVO LEÓN",8,2016,258,"2016-02-21",2016,8,2,1
"CHIAPAS",8,2016,66,"2016-02-21",2016,8,2,1
"VERACRUZ",8,2016,166,"2016-02-21",2016,8,2,1
"MICHOACÁN",8,2016,72,"2016-02-21",2016,8,2,1
"TAMAULIPAS",8,2016,107,"2016-02-21",2016,8,2,1
"MORELOS",8,2016,58,"2016-02-21",2016,8,2,1
"JALISCO",8,2016,239,"2016-02-21",2016,8,2,1
"TABASCO",8,2016,59,"2016-02-21",2016,8,2,1
"PUEBLA",8,2016,31,"2016-02-21",2016,8,2,1
"NAYARIT",8,2016,182,"2016-02-21",2016,8,2,1
"SINALOA",8,2016,74,"2016-02-21",2016,8,2,1
"YUCATÁN",8,2016,38,"2016-02-21",2016,8,2,1
"QUINTANA ROO",8,2016,71,"2016-02-21",2016,8,2,1
"MÉXICO",8,2016,30,"2016-02-21",2016,8,2,1
"COLIMA",8,2016,102,"2016-02-21",2016,8,2,1
"SONORA",8,2016,47,"2016-02-21",2016,8,2,1
"SAN LUIS POTOSÍ",8,2016,27,"2016-02-21",2016,8,2,1
"HIDALGO",8,2016,12,"2016-02-21",2016,8,2,1
"COAHUILA",8,2016,8,"2016-02-21",2016,8,2,1
"CAMPECHE",8,2016,12,"2016-02-21",2016,8,2,1
"AGUASCALIENTES",8,2016,0,"2016-02-21",2016,8,2,1
"BAJA CALIFORNIA",8,2016,9,"2016-02-21",2016,8,2,1
"BAJA CALIFORNIA SUR",8,2016,35,"2016-02-21",2016,8,2,1
"CHIHUAHUA",8,2016,0,"2016-02-21",2016,8,2,1
"CIUDAD DE MÉXICO",8,2016,0,"2016-02-21",2016,8,2,1
"DURANGO",8,2016,2,"2016-02-21",2016,8,2,1
"GUANAJUATO",8,2016,1,"2016-02-21",2016,8,2,1
"OAXACA",8,2016,62,"2016-02-21",2016,8,2,1
"QUERÉTARO",8,2016,0,"2016-02-21",2016,8,2,1
"TLAXCALA",8,2016,0,"2016-02-21",2016,8,2,1
"ZACATECAS",8,2016,0,"2016-02-21",2016,8,2,1
"NUEVO LEÓN",9,2016,217,"2016-02-28",2016,9,2,1
"VERACRUZ",9,2016,154,"2016-02-28",2016,9,2,1
"GUERRERO",9,2016,214,"2016-02-28",2016,9,2,1
"CHIAPAS",9,2016,75,"2016-02-28",2016,9,2,1
"MICHOACÁN",9,2016,75,"2016-02-28",2016,9,2,1
"TAMAULIPAS",9,2016,116,"2016-02-28",2016,9,2,1
"JALISCO",9,2016,203,"2016-02-28",2016,9,2,1
"MORELOS",9,2016,58,"2016-02-28",2016,9,2,1
"TABASCO",9,2016,54,"2016-02-28",2016,9,2,1
"PUEBLA",9,2016,65,"2016-02-28",2016,9,2,1
"NAYARIT",9,2016,157,"2016-02-28",2016,9,2,1
"SINALOA",9,2016,61,"2016-02-28",2016,9,2,1
"YUCATÁN",9,2016,40,"2016-02-28",2016,9,2,1
"MÉXICO",9,2016,22,"2016-02-28",2016,9,2,1
"QUINTANA ROO",9,2016,39,"2016-02-28",2016,9,2,1
"COLIMA",9,2016,108,"2016-02-28",2016,9,2,1
"SONORA",9,2016,27,"2016-02-28",2016,9,2,1
"SAN LUIS POTOSÍ",9,2016,63,"2016-02-28",2016,9,2,1
"HIDALGO",9,2016,9,"2016-02-28",2016,9,2,1
"COAHUILA",9,2016,8,"2016-02-28",2016,9,2,1
"CAMPECHE",9,2016,25,"2016-02-28",2016,9,2,1
"AGUASCALIENTES",9,2016,0,"2016-02-28",2016,9,2,1
"BAJA CALIFORNIA",9,2016,2,"2016-02-28",2016,9,2,1
"BAJA CALIFORNIA SUR",9,2016,33,"2016-02-28",2016,9,2,1
"CHIHUAHUA",9,2016,0,"2016-02-28",2016,9,2,1
"CIUDAD DE MÉXICO",9,2016,0,"2016-02-28",2016,9,2,1
"DURANGO",9,2016,2,"2016-02-28",2016,9,2,1
"GUANAJUATO",9,2016,0,"2016-02-28",2016,9,2,1
"OAXACA",9,2016,60,"2016-02-28",2016,9,2,1
"QUERÉTARO",9,2016,1,"2016-02-28",2016,9,2,1
"TLAXCALA",9,2016,0,"2016-02-28",2016,9,2,1
"ZACATECAS",9,2016,1,"2016-02-28",2016,9,2,1
"NUEVO LEÓN",10,2016,210,"2016-03-06",2016,10,3,1
"VERACRUZ",10,2016,189,"2016-03-06",2016,10,3,1
"CHIAPAS",10,2016,65,"2016-03-06",2016,10,3,1
"GUERRERO",10,2016,199,"2016-03-06",2016,10,3,1
"MICHOACÁN",10,2016,60,"2016-03-06",2016,10,3,1
"TAMAULIPAS",10,2016,131,"2016-03-06",2016,10,3,1
"JALISCO",10,2016,196,"2016-03-06",2016,10,3,1
